date,ticker,open,high,low,close,volume
2026-09-04,DIS,106.4899978638,106.8799972534,105.1699981689,105.3099975586,6103700
2026-09-03,DIS,108.6200027466,109.1999969482,106.9000015259,107.1600036621,6241300
2026-09-02,DIS,106.7099990845,108.9899978638,106.3300018311,107.9800033569,7555300
2026-09-01,DIS,107.2399978638,108.9499969482,106.1399993896,106.2200012207,7033700
2026-08-31,DIS,107.7799987793,108.0899963379,106.9700012207,107.5500030518,8728700
2026-08-28,DIS,107.25,108.1999969482,107.0299987793,108.0999984741,5465900
2026-08-27,DIS,108.7799987793,108.8700027466,106.7399978638,106.8199996948,8699500
2026-08-26,DIS,111.3000030518,111.5199966431,109.4499969482,109.6299972534,8524600
2026-08-25,DIS,110.5,111.5999984741,109.7600021362,111.25,6747100
2026-08-24,DIS,108.3899993896,111.8700027466,108.0800018311,110.6100006104,12658400
2026-08-21,DIS,107.5699996948,108.4100036621,106.9700012207,107.7799987793,6840800
2026-08-20,DIS,106.8799972534,108.6900024414,106.4199981689,107.3199996948,7971500
2026-08-19,DIS,104.0599975586,107.0599975586,103.9599990845,106.9300003052,8046100
2026-08-18,DIS,104.1900024414,105.2099990845,103.6299972534,103.9499969482,6149900
2026-08-17,DIS,106.3300018311,106.6399993896,103.4599990845,103.5,7635000
2026-08-14,DIS,104.9899978638,107.1100006104,104.9100036621,106.8499984741,8176900
2026-08-13,DIS,103.8000030518,104.9400024414,103.4599990845,104.8000030518,7100000
2026-08-12,DIS,103.2900009155,103.6800003052,102.0299987793,103.2200012207,6717500
2026-08-11,DIS,102.9499969482,104.0899963379,102.7900009155,103.5299987793,6781600
2026-08-10,DIS,104.6100006104,104.8000030518,102.8000030518,103.1800003052,8631900
