date,ticker,open,high,low,close,volume
2026-09-04,GOOG,339.1799926758,340.1799926758,333.75,335.3099975586,12676800
2026-09-03,GOOG,336.2916759923,340.6288564622,336.0917935568,338.8599853516,12858300
2026-09-02,GOOG,330.55538914,336.2916858306,329.306200126,333.5634460449,12995900
2026-09-01,GOOG,332.0344336776,333.7333429038,329.0763626874,331.8145751953,16313400
2026-08-31,GOOG,339.7993771116,340.40899719,333.2136564977,335.1923828125,23202000
2026-08-28,GOOG,337.3909315893,345.2058650055,337.0611591245,342.6575317383,17841900
2026-08-27,GOOG,336.081786434,338.5901676312,335.1823764801,337.4908752441,17936100
2026-08-26,GOOG,342.9573444424,342.9683541406,336.7913644922,338.8800048828,16176400
2026-08-25,GOOG,345.7455471565,346.4750845355,341.9230164928,343.1172485352,14031000
2026-08-24,GOOG,340.518916361,347.8541504712,339.3996479024,344.3664245605,16450600
2026-08-21,GOOG,340.0592118507,343.0672686047,337.5908132631,341.5282592773,15363900
2026-08-20,GOOG,339.4696143613,340.5788795635,335.9519090875,337.9805908203,14187700
2026-08-19,GOOG,339.5895440281,343.3371111958,337.8306760781,341.4783325195,13360500
2026-08-18,GOOG,339.6744521142,342.1678588807,337.3009931053,341.0585632324,14254300
2026-08-17,GOOG,343.8367771438,344.826125089,339.3496999406,341.2284851074,12606100
2026-08-14,GOOG,344.0366422138,347.834164446,341.8480607202,343.3171081543,10946800
2026-08-13,GOOG,344.3464540527,345.6056158399,342.177848506,343.7168579102,14997800
2026-08-12,GOOG,345.1059286112,345.2758317304,339.5995243632,342.147857666,15608800
2026-08-11,GOOG,353.7703291557,354.769680368,342.3477521185,342.7774658203,18390200
2026-08-10,GOOG,354.010162824,355.6990688085,351.2419709519,355.6091308594,12789500
