date,ticker,open,high,low,close,volume
2026-09-04,JPM,361.0,362.8599853516,355.200012207,358.6099853515625,4873500
2026-09-03,JPM,358.6799926758,362.8500061035,356.3900146484,362.0599975586,5414200
2026-09-02,JPM,357.549987793,361.4700012207,353.7900085449,356.2200012207,5341400
2026-09-01,JPM,355.7300109863,359.9299926758,354.1199951172,354.950012207,5079000
2026-08-31,JPM,355.8999938965,357.7699890137,354.7699890137,356.0199890137,7962900
2026-08-28,JPM,355.6700134277,358.7300109863,354.2200012207,357.6199951172,3914500
2026-08-27,JPM,354.6799926758,357.5700073242,352.2300109863,354.2200012207,5209900
2026-08-26,JPM,356.5,358.3500061035,354.6000061035,356.5,5796500
2026-08-25,JPM,357.0,357.3699951172,353.0700073242,356.6900024414,4298000
2026-08-24,JPM,353.299987793,358.2799987793,352.8200073242,356.3900146484,4394400
2026-08-21,JPM,354.0700073242,356.8599853516,350.3699951172,351.5799865723,8112100
2026-08-20,JPM,357.6000061035,357.950012207,351.549987793,351.549987793,6799700
2026-08-19,JPM,363.0100097656,363.049987793,355.6499938965,357.2600097656,6696200
2026-08-18,JPM,362.3399963379,363.5700073242,359.2699890137,363.25,5525100
2026-08-17,JPM,361.9400024414,365.75,360.9599914551,360.9599914551,5282600
2026-08-14,JPM,363.0,365.8999938965,361.450012207,362.8399963379,5058600
2026-08-13,JPM,366.5,366.5,361.5199890137,363.1099853516,5102700
2026-08-12,JPM,362.9700012207,366.0899963379,361.299987793,365.1799926758,4366800
2026-08-11,JPM,360.049987793,363.1199951172,358.6000061035,362.0400085449,4576500
2026-08-10,JPM,357.9599914551,359.9899902344,356.5,359.7900085449,5327500
