date,ticker,open,high,low,close,volume
2026-09-04,META,612.3499755859,617.4600219727,605.2700195312,616.7700195312,15942700
2026-09-03,META,604.4899902344,619.4600219727,604.3499755859,610.6799926758,19737100
2026-09-02,META,578.7899780273,600.3800048828,577.0,592.8499755859,16552700
2026-09-01,META,558.3499755859,584.950012207,556.0999755859,578.5399780273,15796900
2026-08-31,META,577.6300048828,578.6799926758,569.1400146484,572.3400268555,13383800
2026-08-28,META,571.549987793,589.1900024414,571.0,578.0200195312,16042400
2026-08-27,META,576.4799804688,588.3900146484,567.6199951172,571.0999755859,15221400
2026-08-26,META,590.3099975586,593.3400268555,561.8800048828,576.1400146484,31416300
2026-08-25,META,563.8800048828,570.799987793,561.4000244141,570.049987793,9769100
2026-08-24,META,550.200012207,561.4199829102,546.299987793,559.0200195312,12990600
2026-08-21,META,546.8900146484,553.8699951172,543.2299804688,549.9000244141,13848000
2026-08-20,META,546.950012207,549.9899902344,539.3099975586,545.8300170898,13872200
2026-08-19,META,541.3400268555,554.0700073242,537.2700195312,546.0300292969,16971700
2026-08-18,META,557.4799804688,560.6599731445,543.2100219727,543.6699829102,27094900
2026-08-17,META,589.75,590.2399902344,564.75,568.9699707031,17225600
2026-08-14,META,596.9799804688,601.8599853516,589.2899780273,589.8499755859,8758000
2026-08-13,META,580.7100219727,595.8499755859,579.3900146484,594.9699707031,11164200
2026-08-12,META,601.0700073242,604.5,578.2100219727,578.8499755859,16186900
2026-08-11,META,598.0,612.4299926758,593.4000244141,599.1199951172,13146900
2026-08-10,META,599.1300048828,608.2100219727,592.0300292969,594.9199829102,14967300
