date,ticker,open,high,low,close,volume
2026-09-04,NFLX,82.1699981689,82.6900024414,78.2300033569,78.23999786376953,40066200
2026-09-03,NFLX,83.1800003052,83.5999984741,81.6299972534,82.6699981689,24006400
2026-09-02,NFLX,80.5500030518,83.1200027466,80.3000030518,82.7300033569,22077800
2026-09-01,NFLX,80.1699981689,82.1299972534,79.5999984741,80.8099975586,21164900
2026-08-31,NFLX,81.0,81.7300033569,80.6500015259,81.0500030518,30740800
2026-08-28,NFLX,80.3600006104,82.3499984741,79.9499969482,81.7200012207,29092700
2026-08-27,NFLX,81.0699996948,81.1500015259,79.2799987793,79.8399963379,27174400
2026-08-26,NFLX,82.0500030518,82.4199981689,81.3000030518,81.4599990845,22874900
2026-08-25,NFLX,79.6500015259,82.4599990845,79.4000015259,82.2300033569,29462000
2026-08-24,NFLX,79.9400024414,80.6200027466,79.0199966431,80.0100021362,21085300
2026-08-21,NFLX,80.2900009155,80.4899978638,79.1699981689,79.5899963379,23773800
2026-08-20,NFLX,80.1399993896,81.0800018311,79.5899963379,80.1399993896,27118400
2026-08-19,NFLX,78.25,81.1600036621,78.0999984741,80.2200012207,31461800
2026-08-18,NFLX,77.4300003052,79.0999984741,76.3399963379,77.7699966431,36151300
2026-08-17,NFLX,77.8000030518,78.5299987793,75.4700012207,76.0199966431,30753000
2026-08-14,NFLX,78.4800033569,78.7300033569,77.7600021362,78.1600036621,26751000
2026-08-13,NFLX,76.0100021362,78.4000015259,75.4400024414,78.2399978638,41452900
2026-08-12,NFLX,74.3499984741,74.6699981689,73.5699996948,74.2099990845,20773100
2026-08-11,NFLX,76.1999969482,76.9000015259,74.4800033569,74.7900009155,27840500
2026-08-10,NFLX,73.8000030518,76.3199996948,73.5699996948,76.2900009155,26959900
