date,ticker,open,high,low,close,volume
2026-09-04,NVDA,231.0899963379,234.7599945068,229.6300048828,230.34500122070312,134946800
2026-09-03,NVDA,226.0200042725,230.3999938965,224.75,228.4499969482,134681600
2026-09-02,NVDA,218.7899932861,227.9499969482,218.4799957275,224.4100036621,157104700
2026-09-01,NVDA,216.75,220.4100036621,215.1000061035,217.4400024414,109756200
2026-08-31,NVDA,218.8699951172,221.3000030518,216.2100067139,220.7799987793,124702700
2026-08-28,NVDA,227.3600006104,229.2599945068,216.8099975586,217.5500030518,195116400
2026-08-27,NVDA,222.8600006104,230.4700012207,220.8999938965,227.9799957275,298909800
2026-08-26,NVDA,212.6399993896,213.6000061035,209.2299957275,209.6600036621,179900000
2026-08-25,NVDA,211.0299987793,214.7299957275,210.1100006104,213.0500030518,122309000
2026-08-24,NVDA,215.5299987793,215.5899963379,207.25,208.4799957275,135187300
2026-08-21,NVDA,218.4199981689,218.7400054932,214.5,214.7200012207,98869300
2026-08-20,NVDA,218.3600006104,219.8600006104,215.6600036621,216.8500061035,92457000
2026-08-19,NVDA,221.6699981689,222.8699951172,216.7599945068,217.5599975586,96797300
2026-08-18,NVDA,220.4499969482,221.6399993896,218.6900024414,219.7400054932,103128200
2026-08-17,NVDA,225.9799957275,227.9199981689,224.8600006104,225.0099945068,93678700
2026-08-14,NVDA,226.7700042725,227.4900054932,224.5,225.1600036621,75680900
2026-08-13,NVDA,225.0599975586,227.2299957275,223.7100067139,225.3000030518,98867200
2026-08-12,NVDA,221.0399932861,225.1000061035,220.1999969482,224.0899963379,108783600
2026-08-11,NVDA,222.1699981689,222.1999969482,216.1999969482,217.5,101273100
2026-08-10,NVDA,223.3999938965,224.1399993896,216.7700042725,217.5500030518,115846600
